"Datum";"+A d/789171 [kWh]";"Status";
16.03.2023 00:00;14,984;namìøená data OK;
17.03.2023 00:00;13,0237;namìøená data OK;
18.03.2023 00:00;8,7885;namìøená data OK;
19.03.2023 00:00;8,8238;namìøená data OK;
20.03.2023 00:00;6,5605;namìøená data OK;
21.03.2023 00:00;5,4815;namìøená data OK;
22.03.2023 00:00;2,0745;namìøená data OK;
23.03.2023 00:00;1,1727;namìøená data OK;
24.03.2023 00:00;0,8175;namìøená data OK;
25.03.2023 00:00;4,4688;namìøená data OK;
26.03.2023 00:00;4,3178;namìøená data OK;
27.03.2023 00:00;1,5092;namìøená data OK;
28.03.2023 00:00;8,9857;namìøená data OK;
29.03.2023 00:00;10,973;namìøená data OK;
30.03.2023 00:00;15,8695;namìøená data OK;
31.03.2023 00:00;13,519;namìøená data OK;
01.04.2023 00:00;11,7637;namìøená data OK;
02.04.2023 00:00;5,7535;namìøená data OK;
03.04.2023 00:00;19,26;namìøená data OK;
04.04.2023 00:00;8,1785;namìøená data OK;
05.04.2023 00:00;8,9027;namìøená data, vıpadek napìtí;
06.04.2023 00:00;12,5698;namìøená data OK;
07.04.2023 00:00;11,1572;namìøená data OK;
08.04.2023 00:00;12,1252;namìøená data OK;
09.04.2023 00:00;25,0353;namìøená data OK;
10.04.2023 00:00;11,935;namìøená data OK;
11.04.2023 00:00;5,7637;namìøená data OK;
12.04.2023 00:00;8,465;namìøená data OK;
13.04.2023 00:00;7,5403;namìøená data OK;
14.04.2023 00:00;0,8705;namìøená data OK;
15.04.2023 00:00;20,707;namìøená data OK;
16.04.2023 00:00;11,599;namìøená data OK;
17.04.2023 00:00;7,0243;namìøená data OK;
18.04.2023 00:00;3,6402;namìøená data OK;
19.04.2023 00:00;3,7407;namìøená data OK;
20.04.2023 00:00;0,9485;namìøená data OK;
21.04.2023 00:00;5,091;namìøená data OK;
22.04.2023 00:00;0,918;namìøená data OK;
23.04.2023 00:00;0,9115;namìøená data OK;
24.04.2023 00:00;0,914;namìøená data OK;
25.04.2023 00:00;0,9133;namìøená data OK;
26.04.2023 00:00;0,8975;namìøená data OK;
27.04.2023 00:00;1,9372;namìøená data OK;
28.04.2023 00:00;2,1898;namìøená data OK;
29.04.2023 00:00;1,7692;namìøená data OK;
30.04.2023 00:00;4,6387;namìøená data OK;
01.05.2023 00:00;1,6393;namìøená data OK;
02.05.2023 00:00;1,293;namìøená data OK;
03.05.2023 00:00;1,3173;namìøená data OK;
04.05.2023 00:00;1,269;namìøená data OK;
05.05.2023 00:00;0,8135;namìøená data OK;
06.05.2023 00:00;1,036;namìøená data OK;
07.05.2023 00:00;0,4442;namìøená data OK;
08.05.2023 00:00;0,5955;namìøená data OK;
09.05.2023 00:00;0,3815;namìøená data OK;
10.05.2023 00:00;0,3987;namìøená data OK;
11.05.2023 00:00;0,4135;namìøená data OK;
12.05.2023 00:00;0,453;namìøená data OK;
13.05.2023 00:00;0,4083;namìøená data OK;
14.05.2023 00:00;0,587;namìøená data OK;
15.05.2023 00:00;0,5593;namìøená data OK;
16.05.2023 00:00;1,441;namìøená data OK;
17.05.2023 00:00;0,3957;namìøená data OK;
18.05.2023 00:00;0,4223;namìøená data OK;
19.05.2023 00:00;0,351;namìøená data OK;
20.05.2023 00:00;0,389;neplatná data;
21.05.2023 00:00;0,386;namìøená data OK;
22.05.2023 00:00;0,368;namìøená data OK;
23.05.2023 00:00;0,371;namìøená data OK;
24.05.2023 00:00;0,4878;namìøená data OK;
25.05.2023 00:00;0,3498;namìøená data OK;
26.05.2023 00:00;0,304;namìøená data OK;
27.05.2023 00:00;0,4858;namìøená data OK;
28.05.2023 00:00;0,3703;namìøená data OK;
29.05.2023 00:00;0,4893;namìøená data OK;
30.05.2023 00:00;0,5747;namìøená data OK;
31.05.2023 00:00;0,3643;namìøená data OK;
01.06.2023 00:00;0,415;namìøená data OK;
02.06.2023 00:00;0,5195;namìøená data OK;
03.06.2023 00:00;0,3575;namìøená data OK;
04.06.2023 00:00;0,4143;namìøená data OK;
05.06.2023 00:00;0,3575;namìøená data OK;
06.06.2023 00:00;0,5413;namìøená data OK;
07.06.2023 00:00;1,3297;namìøená data OK;
08.06.2023 00:00;2,0223;namìøená data OK;
09.06.2023 00:00;0,4655;namìøená data OK;
10.06.2023 00:00;0,4397;namìøená data OK;
11.06.2023 00:00;0,485;namìøená data OK;
12.06.2023 00:00;0,4255;namìøená data OK;
13.06.2023 00:00;0,4103;namìøená data OK;
14.06.2023 00:00;0,3463;namìøená data OK;
15.06.2023 00:00;0,6845;namìøená data OK;
16.06.2023 00:00;0,3565;namìøená data OK;
17.06.2023 00:00;0,434;namìøená data OK;
18.06.2023 00:00;0,468;namìøená data OK;
19.06.2023 00:00;0,412;namìøená data OK;
20.06.2023 00:00;0,537;namìøená data OK;
21.06.2023 00:00;0,3743;namìøená data OK;
22.06.2023 00:00;1,0993;namìøená data OK;
23.06.2023 00:00;0,7778;namìøená data OK;
24.06.2023 00:00;1,0785;namìøená data OK;
25.06.2023 00:00;0,5062;namìøená data OK;
26.06.2023 00:00;0,5028;namìøená data OK;
27.06.2023 00:00;0,392;namìøená data OK;
28.06.2023 00:00;1,4957;namìøená data, vıpadek napìtí;
29.06.2023 00:00;0,4487;namìøená data OK;
30.06.2023 00:00;0,4175;namìøená data OK;
01.07.2023 00:00;0,616;namìøená data OK;
02.07.2023 00:00;0,5357;namìøená data OK;
03.07.2023 00:00;0,5747;namìøená data OK;
04.07.2023 00:00;0,4095;namìøená data OK;
05.07.2023 00:00;1,1843;namìøená data OK;
06.07.2023 00:00;0,5162;namìøená data OK;
07.07.2023 00:00;0,4313;namìøená data OK;
08.07.2023 00:00;1,0088;namìøená data OK;
09.07.2023 00:00;0,7588;namìøená data OK;
10.07.2023 00:00;2,7795;namìøená data OK;
11.07.2023 00:00;0,7903;namìøená data OK;
12.07.2023 00:00;0,46;namìøená data OK;
13.07.2023 00:00;0,4988;namìøená data OK;
14.07.2023 00:00;1,551;namìøená data OK;
15.07.2023 00:00;0,371;namìøená data OK;
16.07.2023 00:00;1,5565;namìøená data OK;
17.07.2023 00:00;1,733;namìøená data OK;
18.07.2023 00:00;0,8085;namìøená data OK;
19.07.2023 00:00;0,4703;namìøená data OK;
20.07.2023 00:00;1,2997;namìøená data OK;
21.07.2023 00:00;2,8918;namìøená data OK;
22.07.2023 00:00;0,7328;namìøená data OK;
23.07.2023 00:00;0,4343;namìøená data OK;
24.07.2023 00:00;0,5513;namìøená data OK;
25.07.2023 00:00;0,4928;namìøená data OK;
26.07.2023 00:00;0,4612;namìøená data OK;
27.07.2023 00:00;1,1493;namìøená data OK;
28.07.2023 00:00;0,5198;namìøená data OK;
29.07.2023 00:00;2,3647;namìøená data OK;
30.07.2023 00:00;0,9985;namìøená data OK;
31.07.2023 00:00;0,63;namìøená data OK;
01.08.2023 00:00;0,4677;namìøená data OK;
02.08.2023 00:00;1,7897;namìøená data OK;
03.08.2023 00:00;0,4733;namìøená data OK;
04.08.2023 00:00;2,082;namìøená data OK;
05.08.2023 00:00;1,0935;namìøená data OK;
06.08.2023 00:00;6,296;namìøená data OK;
07.08.2023 00:00;2,3995;namìøená data OK;
08.08.2023 00:00;2,8653;namìøená data OK;
09.08.2023 00:00;0,8053;namìøená data OK;
10.08.2023 00:00;1,7848;namìøená data OK;
11.08.2023 00:00;0,2975;namìøená data OK;
12.08.2023 00:00;0,1757;namìøená data OK;
13.08.2023 00:00;0,0945;namìøená data OK;
14.08.2023 00:00;0,1645;namìøená data OK;
15.08.2023 00:00;0,1368;namìøená data OK;
16.08.2023 00:00;1,604;namìøená data OK;
17.08.2023 00:00;0,1457;neplatná data;
18.08.2023 00:00;0,9285;namìøená data, vıpadek napìtí;
19.08.2023 00:00;0,0735;namìøená data OK;
20.08.2023 00:00;0,1368;namìøená data OK;
21.08.2023 00:00;1,402;namìøená data OK;
22.08.2023 00:00;0,0867;namìøená data OK;
23.08.2023 00:00;0,154;namìøená data OK;
24.08.2023 00:00;0,0793;namìøená data OK;
25.08.2023 00:00;0,0602;namìøená data OK;
26.08.2023 00:00;0,0838;namìøená data OK;
27.08.2023 00:00;0,133;namìøená data OK;
28.08.2023 00:00;3,8567;namìøená data OK;
29.08.2023 00:00;4,5148;namìøená data OK;
30.08.2023 00:00;9,155;namìøená data OK;
31.08.2023 00:00;3,402;namìøená data, vıpadek napìtí;
01.09.2023 00:00;0,094;namìøená data OK;
02.09.2023 00:00;0,1125;namìøená data, vıpadek napìtí;
03.09.2023 00:00;0,1108;namìøená data OK;
04.09.2023 00:00;0,239;namìøená data OK;
05.09.2023 00:00;0,0673;namìøená data OK;
06.09.2023 00:00;0,0948;namìøená data OK;
07.09.2023 00:00;0,0698;namìøená data OK;
08.09.2023 00:00;0,0707;namìøená data OK;
09.09.2023 00:00;0,126;namìøená data OK;
10.09.2023 00:00;0,0867;namìøená data OK;
11.09.2023 00:00;0,1125;namìøená data OK;
12.09.2023 00:00;0,0715;namìøená data OK;
13.09.2023 00:00;0,0862;namìøená data OK;
14.09.2023 00:00;0,1095;namìøená data OK;
15.09.2023 00:00;0,108;namìøená data OK;
16.09.2023 00:00;0,0887;namìøená data OK;
17.09.2023 00:00;0,1005;namìøená data OK;
18.09.2023 00:00;0,109;namìøená data OK;
19.09.2023 00:00;0,0825;namìøená data OK;
20.09.2023 00:00;0,112;namìøená data OK;
21.09.2023 00:00;0,072;namìøená data OK;
22.09.2023 00:00;0,082;namìøená data OK;
23.09.2023 00:00;0,0948;namìøená data OK;
24.09.2023 00:00;0,7585;namìøená data OK;
25.09.2023 00:00;0,8427;namìøená data OK;
26.09.2023 00:00;0,4323;namìøená data OK;
27.09.2023 00:00;0,083;namìøená data OK;
28.09.2023 00:00;0,0595;namìøená data OK;
29.09.2023 00:00;0,1062;namìøená data OK;
30.09.2023 00:00;0,0762;namìøená data OK;
01.10.2023 00:00;0,0865;namìøená data OK;
02.10.2023 00:00;0,2075;namìøená data OK;
03.10.2023 00:00;0,2863;namìøená data OK;
04.10.2023 00:00;0,0825;namìøená data OK;
05.10.2023 00:00;0,0798;namìøená data OK;
06.10.2023 00:00;0,073;namìøená data OK;
07.10.2023 00:00;0,0655;namìøená data OK;
08.10.2023 00:00;0,1535;namìøená data OK;
09.10.2023 00:00;5,5445;namìøená data OK;
10.10.2023 00:00;5,6593;namìøená data OK;
11.10.2023 00:00;1,7845;namìøená data, vıpadek napìtí;
12.10.2023 00:00;0,084;namìøená data OK;
13.10.2023 00:00;0,1003;namìøená data OK;
14.10.2023 00:00;0,0877;namìøená data OK;
15.10.2023 00:00;0,1583;namìøená data OK;
16.10.2023 00:00;2,0838;namìøená data OK;
17.10.2023 00:00;0,1092;namìøená data OK;
18.10.2023 00:00;1,3787;namìøená data OK;
19.10.2023 00:00;2,1505;namìøená data OK;
20.10.2023 00:00;7,786;namìøená data OK;
21.10.2023 00:00;3,314;namìøená data OK;
22.10.2023 00:00;1,7215;namìøená data OK;
23.10.2023 00:00;8,2427;namìøená data OK;
24.10.2023 00:00;8,3275;namìøená data OK;
25.10.2023 00:00;10,0077;namìøená data OK;
26.10.2023 00:00;4,9882;namìøená data OK;
27.10.2023 00:00;5,8742;namìøená data OK;
28.10.2023 00:00;19,3035;namìøená data OK;
29.10.2023 00:00;10,077;namìøená data OK;
30.10.2023 00:00;6,7242;namìøená data OK;
31.10.2023 00:00;6,3492;namìøená data OK;
01.11.2023 00:00;10,8908;namìøená data OK;
02.11.2023 00:00;3,7955;namìøená data OK;
03.11.2023 00:00;5,3332;namìøená data OK;
04.11.2023 00:00;20,153;namìøená data OK;
05.11.2023 00:00;9,649;namìøená data OK;
06.11.2023 00:00;16,6668;namìøená data OK;
07.11.2023 00:00;10,0675;namìøená data OK;
08.11.2023 00:00;7,382;namìøená data OK;
09.11.2023 00:00;14,431;namìøená data OK;
10.11.2023 00:00;13,5005;namìøená data OK;
11.11.2023 00:00;24,6668;namìøená data OK;
12.11.2023 00:00;28,3397;namìøená data OK;
13.11.2023 00:00;26,0332;namìøená data OK;
14.11.2023 00:00;24,7387;namìøená data OK;
15.11.2023 00:00;18,4935;namìøená data OK;
16.11.2023 00:00;18,618;namìøená data OK;
17.11.2023 00:00;11,8153;namìøená data OK;
18.11.2023 00:00;24,5027;namìøená data OK;
19.11.2023 00:00;32,5983;namìøená data OK;
20.11.2023 00:00;37,5598;namìøená data OK;
21.11.2023 00:00;19,965;namìøená data OK;
22.11.2023 00:00;21,7115;namìøená data OK;
23.11.2023 00:00;38,1715;namìøená data OK;
24.11.2023 00:00;27,8805;namìøená data OK;
25.11.2023 00:00;30,8702;namìøená data OK;
26.11.2023 00:00;40,8585;namìøená data OK;
27.11.2023 00:00;61,103;namìøená data OK;
28.11.2023 00:00;50,486;namìøená data OK;
29.11.2023 00:00;52,5772;namìøená data OK;
30.11.2023 00:00;53,44;namìøená data OK;
01.12.2023 00:00;43,331;namìøená data OK;
02.12.2023 00:00;55,0358;namìøená data OK;
03.12.2023 00:00;63,048;namìøená data OK;
04.12.2023 00:00;56,952;namìøená data OK;
05.12.2023 00:00;54,734;namìøená data OK;
06.12.2023 00:00;49,019;namìøená data OK;
07.12.2023 00:00;53,1257;namìøená data OK;
08.12.2023 00:00;52,674;namìøená data OK;
09.12.2023 00:00;44,975;namìøená data OK;
10.12.2023 00:00;53,392;namìøená data OK;
11.12.2023 00:00;47,0765;namìøená data OK;
12.12.2023 00:00;29,5452;namìøená data OK;
13.12.2023 00:00;21,8813;namìøená data OK;
14.12.2023 00:00;25,3805;namìøená data OK;
15.12.2023 00:00;31,1782;namìøená data OK;
16.12.2023 00:00;29,4645;namìøená data OK;
17.12.2023 00:00;32,2893;namìøená data OK;
18.12.2023 00:00;29,2063;namìøená data OK;
19.12.2023 00:00;32,967;namìøená data OK;
20.12.2023 00:00;26,1958;namìøená data OK;
21.12.2023 00:00;31,7535;namìøená data OK;
22.12.2023 00:00;34,3028;namìøená data OK;
23.12.2023 00:00;36,4892;namìøená data OK;
24.12.2023 00:00;53,863;namìøená data OK;
25.12.2023 00:00;32,3095;namìøená data, vıpadek napìtí;
26.12.2023 00:00;25,4647;namìøená data OK;
27.12.2023 00:00;22,8438;namìøená data OK;
28.12.2023 00:00;22,8822;namìøená data OK;
29.12.2023 00:00;31,9692;namìøená data OK;
30.12.2023 00:00;20,4793;namìøená data OK;
31.12.2023 00:00;21,586;namìøená data OK;
01.01.2024 00:00;31,755;namìøená data OK;
02.01.2024 00:00;25,554;namìøená data OK;
03.01.2024 00:00;36,3895;namìøená data OK;
04.01.2024 00:00;27,3695;namìøená data OK;
05.01.2024 00:00;21,9447;namìøená data OK;
06.01.2024 00:00;29,0825;namìøená data OK;
07.01.2024 00:00;35,9353;namìøená data OK;
08.01.2024 00:00;49,6205;namìøená data OK;
09.01.2024 00:00;59,166;namìøená data OK;
10.01.2024 00:00;66,827;namìøená data OK;
11.01.2024 00:00;56,035;namìøená data OK;
12.01.2024 00:00;62,4365;namìøená data OK;
13.01.2024 00:00;58,7165;namìøená data OK;
14.01.2024 00:00;54,0207;namìøená data OK;
15.01.2024 00:00;45,9543;namìøená data OK;
16.01.2024 00:00;49,8522;namìøená data OK;
17.01.2024 00:00;45,6392;namìøená data OK;
18.01.2024 00:00;59,0448;namìøená data OK;
19.01.2024 00:00;58,827;namìøená data OK;
20.01.2024 00:00;56,7775;namìøená data OK;
21.01.2024 00:00;45,5015;namìøená data OK;
22.01.2024 00:00;50,7978;namìøená data OK;
23.01.2024 00:00;48,427;namìøená data, vıpadek napìtí;
24.01.2024 00:00;37,6695;namìøená data OK;
25.01.2024 00:00;27,131;namìøená data, vıpadek napìtí;
26.01.2024 00:00;30,2252;namìøená data OK;
27.01.2024 00:00;31,1623;namìøená data OK;
28.01.2024 00:00;37,333;namìøená data OK;
29.01.2024 00:00;27,503;namìøená data OK;
30.01.2024 00:00;27,446;namìøená data OK;
31.01.2024 00:00;33,0508;namìøená data OK;
01.02.2024 00:00;42,2022;namìøená data OK;
02.02.2024 00:00;39,432;namìøená data OK;
03.02.2024 00:00;36,1127;namìøená data OK;
04.02.2024 00:00;27,8577;namìøená data OK;
05.02.2024 00:00;27,4473;namìøená data OK;
06.02.2024 00:00;13,2082;namìøená data OK;
07.02.2024 00:00;37,8645;namìøená data OK;
08.02.2024 00:00;25,5385;namìøená data OK;
09.02.2024 00:00;39,3085;namìøená data OK;
10.02.2024 00:00;27,3618;namìøená data OK;
11.02.2024 00:00;14,4753;namìøená data OK;
12.02.2024 00:00;28,0493;namìøená data OK;
13.02.2024 00:00;23,7258;namìøená data OK;
14.02.2024 00:00;17,445;namìøená data OK;
15.02.2024 00:00;22,502;namìøená data OK;
16.02.2024 00:00;25,5727;namìøená data OK;
17.02.2024 00:00;13,0915;namìøená data OK;
18.02.2024 00:00;14,7858;namìøená data OK;
19.02.2024 00:00;16,917;namìøená data OK;
20.02.2024 00:00;19,2112;namìøená data OK;
21.02.2024 00:00;18,456;namìøená data OK;
22.02.2024 00:00;15,1508;namìøená data OK;
23.02.2024 00:00;24,1495;namìøená data OK;
24.02.2024 00:00;20,415;namìøená data OK;
25.02.2024 00:00;10,025;namìøená data OK;
26.02.2024 00:00;25,971;namìøená data, vıpadek napìtí;
27.02.2024 00:00;25,6318;namìøená data OK;
28.02.2024 00:00;26,1258;namìøená data OK;
29.02.2024 00:00;25,0532;namìøená data OK;
01.03.2024 00:00;27,4868;namìøená data OK;
02.03.2024 00:00;10,4373;namìøená data OK;
03.03.2024 00:00;12,8287;namìøená data OK;
04.03.2024 00:00;19,8755;namìøená data OK;
05.03.2024 00:00;12,4797;namìøená data OK;
06.03.2024 00:00;21,5302;namìøená data OK;
07.03.2024 00:00;13,365;namìøená data OK;
08.03.2024 00:00;16,0147;namìøená data OK;
09.03.2024 00:00;15,177;namìøená data OK;
10.03.2024 00:00;30,7108;namìøená data OK;
11.03.2024 00:00;18,8167;namìøená data OK;
12.03.2024 00:00;6,863;namìøená data OK;
13.03.2024 00:00;12,7152;namìøená data OK;
14.03.2024 00:00;7,88;namìøená data OK;
15.03.2024 00:00;8,921;namìøená data OK;
